category	Delta (AY.116.1)	#B22700
category	Delta (AY.117)	#B22C00
category	Delta (AY.118)	#B23100
category	Delta (AY.119)	#B23600
category	Delta (AY.12)	#B23B00
category	Delta (AY.120)	#B24000
category	Delta (AY.120.1)	#B24800
category	Delta (AY.121)	#B25000
category	Delta (AY.121.1)	#B25500
category	Delta (AY.122)	#B25A00
category	Delta (AY.124)	#B26000
category	Delta (AY.125)	#B26500
category	Delta (AY.126)	#B26A00
category	Delta (AY.127)	#B26F00
category	Delta (AY.13)	#B27400
category	Delta (AY.14)	#B27C00
category	Delta (AY.15)	#B28100
category	Delta (AY.16)	#B28600
category	Delta (AY.19)	#B28E00
category	Delta (AY.2)	#B29300
category	Delta (AY.20)	#B29900
category	Delta (AY.23)	#B29E00
category	Delta (AY.24)	#B1A600
category	Delta (AY.25)	#ADAB00
category	Delta (AY.26)	#A8B003
category	Delta (AY.27)	#A4B208
category	Delta (AY.29)	#9FB20C
category	Delta (AY.3)	#9BB211
category	Delta (AY.3.1)	#96B216
category	Delta (AY.30)	#8FB21C
category	Delta (AY.32)	#89B223
category	Delta (AY.33)	#84B228
category	Delta (AY.34)	#80B22C
category	Delta (AY.35)	#7BB231
category	Delta (AY.36)	#77B235
category	Delta (AY.37)	#72B23A
category	Delta (AY.39)	#6EB23E
category	Delta (AY.39.1)	#69B243
category	Delta (AY.39.2)	#62B249
category	Delta (AY.4)	#5EB24E
category	Delta (AY.4.5)	#57B255
category	Delta (AY.42)	#52B259
category	Delta (AY.43)	#4EB25E
category	Delta (AY.44)	#49B262
category	Delta (AY.45)	#45B267
category	Delta (AY.46)	#3EB26E
category	Delta (AY.46.1)	#3AB272
category	Delta (AY.46.2)	#35B277
category	Delta (AY.46.4)	#31B27B
category	Delta (AY.46.6)	#2CB280
category	Delta (AY.47)	#28B284
category	Delta (AY.5)	#21B28B
category	Delta (AY.5.2)	#1CB28F
category	Delta (AY.5.3)	#16B296
category	Delta (AY.53)	#11B29B
category	Delta (AY.54)	#0CB09F
category	Delta (AY.56)	#08ABA4
category	Delta (AY.6)	#03A5A8
category	Delta (AY.61)	#009FAD
category	Delta (AY.69)	#009AB1
category	Delta (AY.7.1)	#0094B2
category	Delta (AY.75)	#008CB2
category	Delta (AY.76)	#0083B2
category	Delta (AY.77)	#007EB2
category	Delta (AY.87)	#0078B2
